vin,body_type,city,daysonmarket,dealer_zip,description,engine_cylinders,exterior_color,fleet,frame_damaged,franchise_dealer,franchise_make,has_accidents,horsepower,interior_color,isCab,is_new,latitude,listed_date,listing_color,listing_id,longitude,make_name,maximum_seating,mileage,model_name,owner_count,power,price,seller_rating,sp_id,sp_name,theft_title,torque,transmission,trim_name,wheel_system,wheel_system_display,wheelbase,width,year
ZFF89FPA2L0249027,Convertible,Spring Valley,53,10977,"Wide World Ferrari is excited to present to you our stunning, clean carfax 1 Owner, 2020 Ferrari Portofino Convertible with 1,733 miles! It is a stunning car and the entire front end already has clear film protection making it an even better purchase!   Finished in beautiful Blu Pozzi with a hand-stitched Cuoio Leather Interior, our 2020 Portofino is nicely optioned and will be Ferrari Approved, making it eligible for Ferrari Certification warranty for an additional charge. Please inquire for additional details.  It has original warranty thru 9/2022 and complimentary scheduled maintenance thru 09/2026.     No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance and will be happy to accommodate you remotely!   Contact us to schedule a virtual presentation or for any additional information including remote delivery. Call us at  or email   Take a look at the extensive options on our 2020 Ferrari Portofino only at Wide World Ferrari!  BLU POZZI | CUOIO | 20"" FORGED PAINTED RIMS | YELLOW BRAKE CALIPERS | 'SCUDERIA FERRARI' SHIELDS | FRONT GRILL WITH CHROMED EDGES | PARKING CAMERA | COLOURED SPECIAL STITCHING NERO | FULL ELECTRIC SEATS | HORSE STITCHED ON HEADREST NERO | COLOUR UPON REQUEST FOR PIPING NERO | COLOURED MATS WITH LOGO | ALUMINIUM DRIVER & PASSENGER FOOTREST | HIGH POWER HIFI SYSTEM | YELLOW REV. COUNTER | VEHICLE PERSONALIZATION PLATE | ADVANCED FRONT DRIVING CAMERA[!@@Additional Info@@!]Navigation System,Convertible HardTop,7 Speakers,AM/FM radio: SiriusXM,Radio data system,Radio: AM/FM/Satellite,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Ceramic disc brakes: front and rear,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Integrated roll-over protection,Low tire pressure warning,Rear anti-roll bar,Electronic Stability Control,Delay-off headlights,Fully automatic headlights,Rear fog lights,Security system,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Apple CarPlay,Convertible roof lining,Driver door bin,Front reading lights,Illuminated entry,Outside temperature display,Overhead console,Passenger vanity mirror,Power convertible roof,Rear seat center armrest,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Front Center Armrest,Leather Seat Trim,Power passenger seat,Passenger door bin,20"" Wheels,Glass rear window,Rain sensing wipers,Variably intermittent wipers",V8,Blu Pozzi,FALSE,FALSE,TRUE,Ferrari,FALSE,591,Cuoio,FALSE,FALSE,41.1064,7/18/2020,UNKNOWN,276957106,-74.0352,Ferrari,4 seats,1733,Portofino,1,"591 hp @ 7,500 RPM",231995,5,437166,Wide World Ferrari,FALSE,"561 lb-ft @ 3,000 RPM",A,Convertible RWD,RWD,Rear-Wheel Drive,105.1 in,82.3 in,2020
ZFF83CLA0L0252479,Coupe,Spring Valley,119,10977,"Wide World Ferrari is excited to present to you our stunning, one owner clean carfax 2020 Ferrari 812 Superfast Coupe with 239 miles!   Finished in Bianco Avus with Cuoio Full Leather interior our 812 Superfast was originally ordered thru us!  The entire front nose is wrapped in Xpel Clear Film Protection and it has a built in K40 Radar system! The original MSRP of the vehicle was over $429,000! It is nicely optioned and will be Ferrari Approved, making it eligible for Ferrari Certification warranty for an additional charge. Please inquire for additional details.   No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance and will be happy to accomodate you remotely!   Contact us to schedule a virtual presentation or for any additional information including remote delivery. Call us at  or email   Take a look at the extensive options on our 2020 Ferrari 812 Superfast only at Wide World Ferrari!  BIANCO AVUS | CUOIO | CERCHI 20"" FORGED RACING DIAMAN WHEELS | YELLOW BRAKE CALIPERS CARBON FIBRE WHEELS CUP | ADAPTIVE FRONT LIGHTS + SBL | SUSPENSION LIFTER | BLACK CERAMIC EXHAUST PIPES | PARKING CAMERA | 'SCUDERIA FERRARI' SHIELDS COLOURED SPECIAL STITCHING IN BIANCO | DAYTONA STYLE SEATS | FULL ELECTRIC SEATS | HORSE STITCHED ON HEADREST | DAYTONA SEAT ALCANTARA STRIPES COLOURED MATS WITH LOGO | ADVANCED FRONT DRIVING CAMERA | SATELLITE RADIO | YELLOW REV. COUNTER | CARBON FIBRE DASHBOARD INSERTS CARBON FIBRE CENTRAL BRIDGE | CARBON FIBRE DRIVER ZONE+LEDS[!@@Additional Info@@!]Navigation System,6 Speakers,AM/FM radio: SiriusXM,Radio data system,Radio: AM/FM Audio System,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Adaptive suspension,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Ceramic disc brakes: front and rear,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Passenger cancellable airbag,Rear anti-roll bar,Electronic Stability Control,Exterior Parking Camera Rear,Delay-off headlights,Fully automatic headlights,Rear fog lights,Security system,Speed control,Auto-dimming door mirrors,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Auto-dimming Rear-View mirror,Driver door bin,Front reading lights,Garage door transmitter,Illuminated entry,Leather steering wheel,Outside temperature display,Overhead console,Passenger vanity mirror,Sport steering wheel,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Voltmeter,Front Bucket Seats,Front Center Armrest,Leather Seat Trim,Power passenger seat,Sport Bucket Seats,Passenger door bin,Alloy wheels,Rain sensing wipers,Variably intermittent wipers",V12,Bianco Avus,FALSE,FALSE,TRUE,Ferrari,FALSE,789,Cuoio,FALSE,FALSE,41.1064,5/13/2020,UNKNOWN,271876829,-74.0352,Ferrari,2 seats,239,812 Superfast,1,"789 hp @ 8,500 RPM",366995,5,437166,Wide World Ferrari,FALSE,"530 lb-ft @ 7,000 RPM",A,RWD,RWD,Rear-Wheel Drive,107.1 in,83.5 in,2020
ZFF75VFAXF0204814,Coupe,Spring Valley,31,10977,"Wide World Ferrari is excited to present to you our stunning, clean carfax, 2015 Ferrari 458 Speciale with 4,849 miles! It is a stunning car and features full film protection on the front end, has 4 new tires and has been recently serviced!   Finished in Bianco Avus with a hand-stitched Black Alcantara Interior, our 2015 Speciale is nicely optioned and will be Ferrari Approved, making it eligible for Ferrari Certification warranty for an additional charge. Please inquire for additional details.  It has complimentary scheduled maintenance thru 07/2021.     No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance and will be happy to accommodate you remotely!   Contact us to schedule a virtual presentation or for any additional information including remote delivery. Call us at  or email   Take a look at the extensive options on our 2015 Ferrari 458 Speciale only at Wide World Ferrari!  BIANCO AVUS | ALCANTARA NERA | ROSSO SCUDERIA BRAKE CALIPERS | FRONT AIRVENTS IN CARBON FIBRE | CARBON FIBRE SIDE NOLDERS | CARBON FIBRE WHEELS CUP | FERRARI TELEMETRY | HORSE STITCHED ON HEADREST | ESTRATTORE BASE | 'SCUDERIA FERRARI' SHIELDS | RADIO NAVI SYSTEM + BLUETOOTH | RACING STRIPE NERO STELLATO | 20"" FORGED DARK PAINTED RIMS | GLOSSY PAINTED RIMS | RED REV. COUNTER | CARBON FIBRE RACING SEATS | SATELLITE RADIO \ INTEGRATED AUDIO SYSTEM | SPECIAL FEATURES COLOURED SPECIAL STITCHING ROSSO | INTERIOR 3D FABRIC COLOUR[!@@Additional Info@@!]Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power steering,Power windows,Remote keyless entry,Adaptive suspension,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Ceramic disc brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Passenger cancellable airbag,Rear anti-roll bar,Electronic Stability Control,Delay-off headlights,Fully automatic headlights,Headlight cleaning,High intensity discharge headlights: Bi-Xenon,Rear fog lights,Security system,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Driver door bin,Front Racing Seats,Front reading lights,Illuminated entry,Leather steering wheel,Outside temperature display,Sport steering wheel,Tachometer,Telescoping steering wheel,Tilt steering wheel,Voltmeter,Alcantara/3D Fabric w/Carbon Fiber Seatbacks,Front Bucket Seats,Passenger door bin,Alloy wheels,Rain sensing wipers,Variably intermittent wipers",V8,Bianco Avus,FALSE,FALSE,TRUE,Ferrari,FALSE,597,Nero,FALSE,FALSE,41.1064,8/9/2020,UNKNOWN,278879994,-74.0352,Ferrari,2 seats,4849,458 Italia,2,"597 hp @ 9,000 RPM",362750,5,437166,Wide World Ferrari,FALSE,"398 lb-ft @ 6,000 RPM",M,Speciale Coupe RWD,RWD,Rear-Wheel Drive,104.3 in,76.8 in,2015
ZFF79ALAXH0222413,Coupe,Spring Valley,8,10977,"Wide World Ferrari is excited to present to you our stunning, clean carfax, one owner 2017 Ferrari 488 GTB with 1,792 miles! It is a stunning car that was ordered from us originally and traded in against a newer Ferrari!   Finished in Rosso Corsa with a hand-stitched Black Leather Interior Interior, our 2017 Ferrari 488 GTB is nicely optioned and will be Ferrari Approved, making it eligible for Ferrari Certification warranty for an additional charge. Please inquire for additional details.  It has complimentary scheduled maintenance thru 11/2023.     No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance and will be happy to accommodate you remotely!   Contact us to schedule a virtual presentation or for any additional information including remote delivery. Call us at  or email   Take a look at the extensive options on our 2017 Ferrari 488 GTB Coupe only at Wide World Ferrari!  ROSSO CORSA | NERO LEATHER | SILVERSTONE GREY CALLIPERS | CARBON FIBRE REAR AIR-DUCTS | CARBON FIBRE SIDE AIR SPLITTER | COLOURED SAFETY BELTS	CINTURE ROT (ROSSE) | DAYTONA STYLE SEATS | HORSE STITCHED ON HEADREST ROSSO (RED)  | CARBON FIBRE FRONT SPOILER | COLOURED MATS WITH LOGO | CARBON FIBER STEERING WHEEL + LEDS | 'SCUDERIA FERRARI' SHIELDS | FRONT AND REAR PARKING SENSORS | SPORT SILL COVER | 20"" FORGED PAINTED RIMS | YELLOW REV. COUNTER | FULL ELECTRIC SEATS |  COLOURED SPECIAL STITCHING SPECIALE ROSSO[!@@Additional Info@@!]Navigation System,6 Speakers,AM/FM radio,CD player,Radio data system,Radio: AM/FM/MP3/USB/6-Disc CD w/30GB Hard Disc Drive,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Adaptive suspension,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Ceramic disc brakes: front and rear,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Passenger cancellable airbag,Rear anti-roll bar,Electronic Stability Control,Delay-off headlights,Fully automatic headlights,Headlight cleaning,High intensity discharge headlights: Bi-Xenon,Rear fog lights,Security system,Speed control,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Compass,Driver door bin,Front reading lights,Illuminated entry,Leather steering wheel,Outside temperature display,Sport steering wheel,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Voltmeter,Front Bucket Seats,Front Center Armrest,Leather Seat Trim,Sport Bucket Seats,Passenger door bin,Wheels: 20"" x 9"" Fr & 20"" x 11"" Rr Alloy,Rain sensing wipers,Variably intermittent wipers",V8,Rosso Corsa,FALSE,FALSE,TRUE,Ferrari,FALSE,660,Nero,FALSE,FALSE,41.1064,9/1/2020,UNKNOWN,280899992,-74.0352,Ferrari,2 seats,1792,488,1,"660 hp @ 8,000 RPM",240995,5,437166,Wide World Ferrari,FALSE,"561 lb-ft @ 3,000 RPM",A,GTB Coupe RWD,RWD,Rear-Wheel Drive,104.3 in,76.9 in,2017
ZFF67NFA3B0181540,Coupe,Spring Valley,20,10977,"Wide World Ferrari is excited to present to you our stunning, clean carfax, 2011 Ferrari 458 Italia with 4,341 miles! It is a stunning car and that has recently been serviced and has 4 New Tires!   Finished in Bianco Avus  with a hand-stitched Black Nero Leather Interior with Race Seats, our 2011 458 Italia is nicely optioned and will be Ferrari Approved, making it eligible for Ferrari Certification warranty for an additional charge. Please inquire for additional details.    No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance and will be happy to accommodate you remotely!   Contact us to schedule a virtual presentation or for any additional information including remote delivery. Call us at  or email   Take a look at the extensive options on our 2011 Ferrari 458 Italia only at Wide World Ferrari in Spring Valley NY.  A Ferrari dealer since 1974!   BIANCO AVUS | NERO | YELLOW BRAKE CALIPERS | CARBON FIBRE DRIVER ZONE+LEDS | CARBON FIBRE CENTRAL BRIDGE | CARBON FIBRE DASHBOARD INSERTS   | IPOD CONNECTION | 'SCUDERIA FERRARI' SHIELDS | INT/EXT ELECTROCHROMIC MIRRORS | RADIO NAVI SYSTEM + BLUETOOTH | PARKING CAMERA | FRONT AND REAR PARKING SENSORS | SPORT SILL COVER | 20"" FORGED DARK PAINTED RIMS | WHITE REV COUNTER | CARBON FIBRE RACING SEATS | LEATHER HEADLINER | SATELLITE RADIO | LEATHER REAR SHELF | HIGH POWER HIFI SYSTEM | COLOURED STANDARD STITCHING | TYRES PRESSURE MEASUREMENT[!@@Additional Info@@!]Satellite Navigation System,6 Speakers,AM/FM radio,CD player,High-Power Premium Hi-Fi System,MP3 decoder,Radio data system,Radio: AM/FM/MP3/USB/6-Disc CD w/30GB Hard Disc Drive,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Adaptive suspension,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Brake Calipers in Yellow Color,Ceramic disc brakes,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Passenger cancellable airbag,Rear anti-roll bar,Electronic Stability Control,Front & Rear Parking Sensors,Reverse Camera System,Delay-off headlights,Fully automatic headlights,Headlight cleaning,High intensity discharge headlights: Bi-Xenon,Rear fog lights,Security system,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Sports Sill Cover,Carbon Fiber Driving Zone w/LED Steering Wheel,Carbon Fiber Steering Wheel w/LED Rev Display,Driver door bin,Front reading lights,Illuminated entry,Leather steering wheel,Outside temperature display,Sport steering wheel,Tachometer,Telescoping steering wheel,Tilt steering wheel,Voltmeter,Front Center Armrest,Leather Seat Trim,Racing Seats,Passenger door bin,20"" Shadow Chrome Alloy Wheels,Rain sensing wipers,Variably intermittent wipers",V8,White,FALSE,FALSE,TRUE,Ferrari,FALSE,562,Nero,FALSE,FALSE,41.1064,8/20/2020,WHITE,279822337,-74.0352,Ferrari,2 seats,4341,458 Italia,1,"562 hp @ 9,000 RPM",187850,5,437166,Wide World Ferrari,FALSE,"398 lb-ft @ 6,000 RPM",M,Coupe RWD,RWD,Rear-Wheel Drive,104.3 in,76.3 in,2011
ZFF82WNA8L0249623,Hatchback,Spring Valley,79,10977,"Wide World Ferrari is excited to present to you our NEW 2020 Ferrari GTC 4 Lusso!    Our 2020 Ferrari GTC 4 Lusso is finished in Bianco Avus over Cuoio Leather.   No matter where you are, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!   We welcome any potential trade-ins you may have no matter the distance!   Check out some of its options below:   BIANCO AVUS | CUOIO LEATHER INTERIOR | 20"" FORGED PAINTED RIMS | YELLOW BRAKE CALIPERS | PANORAMIC ROOF | 'SCUDERIA FERRARI' SHIELDS | HIGH EMOTION LOW EMISSION | COLOURED SPECIAL STITCHING NERO | HORSE STITCHED ON HEADREST NERO | COLOURED MATS WITH LOGO | WHITE REV COUNTER | CARBON FIBER STEERING WHEEL + LEDS | ADVANCED FRONT DRIVING CAMERA | VEHICLE PERSONALIZATION PLATE[!@@Additional Info@@!]Navigation System,8 Speakers,AM/FM radio: SiriusXM,Radio data system,Radio: AM/FM Audio System,Remote CD player,Air Conditioning,Automatic temperature control,Front dual zone A/C,Rear window defroster,Memory seat,Power driver seat,Power steering,Power windows,Remote keyless entry,Steering wheel mounted audio controls,Adaptive suspension,Four wheel independent suspension,Speed-sensing steering,Traction control,4-Wheel Disc Brakes,ABS brakes,Ceramic disc brakes: front and rear,Dual front impact airbags,Dual front side impact airbags,Front anti-roll bar,Low tire pressure warning,Rear anti-roll bar,Power Liftgate,Brake assist,Electronic Stability Control,Exterior Parking Camera Rear,Delay-off headlights,Fully automatic headlights,Headlight cleaning,High intensity discharge headlights: Bi-Xenon,Rear fog lights,Panic alarm,Security system,Speed control,Auto-dimming door mirrors,Bumpers: body-color,Heated door mirrors,Power door mirrors,Spoiler,Auto-dimming Rear-View mirror,Driver door bin,Front reading lights,Illuminated entry,Outside temperature display,Passenger vanity mirror,Rear reading lights,Rear seat center armrest,Sport steering wheel,Tachometer,Telescoping steering wheel,Tilt steering wheel,Trip computer,Front Bucket Seats,Front Center Armrest,Heated front seats,Leather Seat Trim,Power passenger seat,Split folding rear seat,Passenger door bin,20"" Wheels,Rain sensing wipers,Speed-Sensitive Wipers,Variably intermittent wipers",V12,White,FALSE,FALSE,TRUE,Ferrari,FALSE,680,Cuoio,FALSE,FALSE,41.1064,6/22/2020,WHITE,274713395,-74.0352,Ferrari,4 seats,76,GTC4Lusso,1,"680 hp @ 8,000 RPM",350698,5,437166,Wide World Ferrari,FALSE,"514 lb-ft @ 5,750 RPM",A,AWD,AWD,All-Wheel Drive,117.7 in,81.2 in,2020
ZFF72RHA2B0181343,Coupe,Spring Valley,178,10977,"Wide World Ferrari is excited to present to you our one owner, clean Carfax, 1 of 80 Ferrari 599 SA Aperta!   Finished in Rosso Corsa Red with a Nero Full leather interior, our 2011 599 SA Aperta was ordered from us originally and serviced here at Wide World Ferrari as well!    Our 599 SA Aperta is nicely optioned and will be Ferrari Approved, making it eligible for Ferrari Certification warranty for an additional charge. Please inquire for additional details.   No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance!   Contact us to schedule a virtual presentation or to make an appointment to visit our Ferrari Center.    Take a look at the extensive options on our 2011 Ferrari 599 SA Aperta only at Wide World Ferrari!  ROSSO CORSA | NERO | RED BRAKE CALIPERS COLOURED SAFETY BELTS | HOME LINK | IPOD CONNECTION | CARBON FIBER STEERING WHEEL + LEDS | FRONT AND REAR PARKING SENSORS | INNER LEATHER INSERTS | FULL ELECTRIC SEATS | COLOURED SPECIAL STITCHING IN ROSSO",V12,Rosso Corsa,FALSE,FALSE,TRUE,Ferrari,FALSE,620,Black,FALSE,FALSE,41.1064,3/15/2020,UNKNOWN,268724936,-74.0352,Ferrari,2 seats,1258,599 GTB Fiorano,2,"620 hp @ 7,600 RPM",1299950,5,437166,Wide World Ferrari,FALSE,"448 lb-ft @ 5,600 RPM",M,RWD,RWD,Rear-Wheel Drive,108.3 in,77.2 in,2011
ZFF89FPA0K0235898,Convertible,Spring Valley,206,10977,"Wide World Ferrari is excited to present to you our NEW 2019 Ferrari Portofino with 4,069 miles!  This is a new car that has never been registered or titled and was an executive demo of our owner. Our 2019 Portofino had an original MSRP of $287,120.  You can drive our 2019 Portofino for $2,399 per month with ZERO DOWN! Ask us for details!  Finished in Grigio Titanium with a Nero Full leather interior, our 2019 Ferrari Portofino features is nicely optioned and will be Ferrari Approved, making it eligible for Ferrari Certification warranty for an additional charge. Please inquire for additional details.   No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance!   Contact us to schedule a virtual presentation or to make an appointment to visit our Ferrari Center!   Take a look at some of the extension options on our 2019 Portofino!!!   GRIGIO TITANIO METALLIC | NERO | MATT GRIGIO CORSA STD WHEELS | ALUMINUM BRAKE CALIPERS | FRONT AIR INTAKES IN CARBON FIBER | CARBON FIBRE REAR AIR-DUCTS | 'SCUDERIA FERRARI' SHIELDS | FRONT GRILL BLACK CHROME | BLACK CERAMIC EXHAUST PIPES | PARKING CAMERA | ADAPTIVE FRONT LIGHTS + SBL | ELECTROCHROMIC REARVIEW MIRROR | MAGNERIDE DUAL MODE SUSPENSION | GRIGIO CHIARO COLOURED STANDARD STITCHING | FULL ELECTRIC SEATS | HORSE STITCHED ON HEADREST | ALUMINIUM DRIVER & PASSENGER FOOTREST | FOLDABLE REAR SEATS BACKREST | PASSENGER DISPLAY | HIGH POWER HIFI SYSTEM | DVD CHANGER | GARAGE DOOR OPENERS | ALUMINUM REV. COUNTER | CARBON FIBRE DASHBOARD INSERTS | CARBON FIBRE CENTRAL BRIDGE | CARBON FIBRE DRIVER ZONE+LEDS | VEHICLE PERSONALIZATION PLATE",V8,Titanium,FALSE,FALSE,TRUE,Ferrari,FALSE,591,Black,FALSE,FALSE,41.1064,2/16/2020,UNKNOWN,266059479,-74.0352,Ferrari,4 seats,4080,Portofino,2,"591 hp @ 7,500 RPM",228895,5,437166,Wide World Ferrari,FALSE,"561 lb-ft @ 3,000 RPM",A,Convertible RWD,RWD,Rear-Wheel Drive,105.1 in,76.3 in,2019
ZFF82YNA5K0247757,Coupe,Spring Valley,206,10977,"Wide World Ferrari is excited to present to you our NEW 2019 Ferrari GTC4 Lusso T with only 1,094 miles!   Our 2019 Lusso T is finished in Argento Nurburgring Metallic over Rosso Ferrari Red Full Leather and has NEVER been registered or titled!! You can drive our Lusso T for $2,499 per month with $0 Down! Contact us for details!   No matter where you are located or registering the car, we can assist you with financing, leasing, balloon, payment, registrations and shipping options!  We welcome any potential trade-ins you may have no matter the distance!   Contact us to schedule a virtual presentation or to make an appointment at our Ferrari Center on our Lusso T!   Check out some of its options below:   ARGENTO NURBURGRING | ROSSO FERRARI | 20"" FORGED DARK PAINTED RIMS | ALUMINUM BRAKE CALIPERS | FRONT AIR VENTS IN CARBON FIBRE | CARBON FIBRE WHEELS CUP | 'SCUDERIA FERRARI' SHIELDS | GRIGIO CHIARO COLOURED SPECIAL STITCHING | HORSE STITCHED ON HEADREST COLOURED MATS WITH LOGO | PASSENGER DISPLAY | ALUMINUM REV. COUNTER | CARBON FIBER STEERING WHEEL + LEDS | VEHICLE PERSONALIZATION PLATE ADVANCED FRONT DRIVING CAMERA | SURROUND VIEW",V8,Argento Nurburgring Metallic,FALSE,FALSE,TRUE,Ferrari,FALSE,602,Rosso Ferrari,FALSE,FALSE,41.1064,2/16/2020,UNKNOWN,266059477,-74.0352,Ferrari,4 seats,1650,GTC4Lusso,1,"602 hp @ 7,500 RPM",238995,5,437166,Wide World Ferrari,FALSE,"561 lb-ft @ 3,000 RPM",A,RWD,RWD,Rear-Wheel Drive,117.7 in,78 in,2019
ZFF89FPA8K0241772,Convertible,Edison,71,8817,"2019 Ferrari Portofino Grigio Titanio Metallic 3.9L V8 7-Speed RWD 1 Owner Vehicle, 20"" Forged Painted Rims, Red Brake Calipers, 'Scuderia Ferrari' Shields, Parking Camera, Electrochromic Rearview Mirror, Coloured Special Stitching, Full Electric Seats, Horse Stitched on Headrest, Foldable Rear Seats Backrest, Garage Door Openers, Red Rev. Counter.  1 Owner Vehicle, 20"" Forged Painted Rims, Red Brake Calipers, 'Scuderia Ferrari' Shields, Parking Camera, Electrochromic Rearview Mirror, Coloured Special Stitching, Full Electric Seats, Horse Stitched on Headrest, Foldable Rear Seats Backrest, Garage Door Openers, and Red Rev. Counter Ferrari Maserati of Central NEw Jersey is proud to offer you this Beautiful 2019 Ferrari Portofino. This Portofino is beautifully finished in Grigio Titanio Metallic and complimented by Rosso Ferrari Leather and this exceptional vehicle gives you an amazing driving experience and wraps you in all the right creature comforts.  Ferrari Approved Details:    * Warranty Deductible: $0   * Vehicle History   * 1 year/Unlimited miles beginning after new car warranty expires or from certified purchase date   * Roadside Assistance   * Transferable Warranty   * 101 Point Inspection   Welcome to Ferrari of Central New Jersey. We are dedicated to serving all of your automotive needs and providing the best customer experience possible.Ferrari of Central New Jersey is the first and only authorized Ferrari dealership in New Jersey! Serving customers across the NYC metro area, we have two showrooms full of new Ferrari vehicles, used Ferrari vehicles, and pre-owned luxury cars and SUVs from other automakers as well. We also offer our customers 35 high security climate controlled storage spaces and a boutique full of genuine Ferrari merchandise.[!@@Additional Info@@!]1 Owner Vehicle,20"" Forged Painted Rims,Red Brake Calipers,'Scuderia Ferrari' Shields,Parking Camera,Electrochromic Rearview Mirror,Coloured Special Stitching,Full Electric Seats,Horse Stitched on Headrest,Foldable Rear Seats Backrest,Garage Door Openers,Red Rev. Counter",V8,Grigio Titanio Metallic,FALSE,FALSE,TRUE,Ferrari,FALSE,591,Rosso Ferrari,FALSE,FALSE,40.5132,6/30/2020,UNKNOWN,275365634,-74.3796,Ferrari,4 seats,2569,Portofino,1,"591 hp @ 7,500 RPM",205000,5,274175,Ferrari Maserati of Central New Jersey,FALSE,"561 lb-ft @ 3,000 RPM",A,Convertible RWD,RWD,Rear-Wheel Drive,105.1 in,76.3 in,2019
